t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.8522,state,4,32.2014,-0.280,-0.0879,,,36.0
0.8614,cmd,3,16.0513,,,0.00,0.00,
0.8614,cmd,4,32.2014,,,0.00,0.00,
0.8621,state,3,16.0513,0.839,-0.0440,,,37.0
0.8621,state,4,32.2014,-3.078,-0.0293,,,36.0
0.8714,cmd,3,16.0513,,,0.00,0.00,
0.8714,cmd,4,32.2014,,,0.00,0.00,
0.8721,state,3,16.0513,0.839,-0.0440,,,37.0
0.8721,state,4,32.2014,1.959,-0.0879,,,36.0
0.8815,cmd,3,16.0513,,,0.00,0.00,
0.8815,cmd,4,32.2014,,,0.00,0.00,
0.8819,state,3,16.0513,-0.280,0.0147,,,37.0
0.8822,state,4,32.2014,4.197,-0.0293,,,36.0
0.8914,cmd,3,16.0513,,,0.00,0.00,
0.8914,cmd,4,32.2014,,,0.00,0.00,
0.8920,state,3,16.0513,5.317,-0.0147,,,37.0
0.8921,state,4,32.2014,-0.839,-0.0879,,,36.0
0.9014,cmd,3,16.0513,,,0.00,0.00,
0.9014,cmd,4,32.2014,,,0.00,0.00,
0.9021,state,3,16.0513,-5.876,-0.0147,,,37.0
0.9021,state,4,32.2014,-2.518,-0.0879,,,36.0
0.9115,cmd,3,16.0513,,,0.00,0.00,
0.9115,cmd,4,32.2014,,,0.00,0.00,
0.9121,state,3,16.0513,0.280,-0.0147,,,37.0
0.9122,state,4,32.2014,5.317,-0.0293,,,36.0
0.9215,cmd,3,16.0513,,,0.00,0.00,
0.9215,cmd,4,32.2014,,,0.00,0.00,
0.9221,state,3,16.0513,-1.959,-0.0147,,,37.0
0.9222,state,4,32.2014,-3.078,-0.0293,,,36.0
0.9314,cmd,3,16.0513,,,0.00,0.00,
0.9314,cmd,4,32.2014,,,0.00,0.00,
0.9321,state,3,16.0513,7.555,-0.0440,,,37.0
0.9321,state,4,32.2014,-0.839,-0.0879,,,36.0
0.9416,cmd,3,16.0513,,,0.00,0.00,
0.9416,cmd,4,32.2014,,,0.00,0.00,
0.9421,state,3,16.0513,-1.399,-0.0147,,,37.0
0.9427,state,4,32.2014,-3.078,-0.0879,,,36.0
0.9515,cmd,3,16.0513,,,0.00,0.00,
0.9515,cmd,4,32.2014,,,0.00,0.00,
0.9520,state,3,16.0513,-3.638,-0.0147,,,37.0
0.9522,state,4,32.2014,0.839,-0.0293,,,36.0
0.9614,cmd,3,16.0513,,,0.00,0.00,
0.9615,cmd,4,32.2014,,,0.00,0.00,
0.9621,state,3,16.0513,1.399,-0.0733,,,37.0
0.9621,state,4,32.2014,-2.518,-0.0293,,,36.0
0.9716,cmd,3,16.0513,,,0.00,0.00,
0.9716,cmd,4,32.2014,,,0.00,0.00,
0.9721,state,3,16.0513,-3.078,-0.0147,,,37.0
0.9723,state,4,32.2014,4.197,-0.0879,,,36.0
0.9815,cmd,3,16.0513,,,0.00,0.00,
0.9815,cmd,4,32.2014,,,0.00,0.00,
0.9821,state,3,16.0513,0.839,-0.0147,,,37.0
0.9821,state,4,32.2014,-1.399,-0.0879,,,36.0
0.9914,cmd,3,16.0513,,,0.00,0.00,
0.9915,cmd,4,32.2014,,,0.00,0.00,
0.9921,state,3,16.0513,-0.839,-0.0440,,,37.0
0.9922,state,4,32.2014,-1.399,-0.0879,,,36.0
1.0015,cmd,3,16.0513,,,0.00,0.00,
1.0015,cmd,4,32.2014,,,0.00,0.00,
1.0021,state,3,16.0513,-0.839,-0.0440,,,37.0
1.0022,state,4,32.2014,-5.876,-0.0879,,,36.0
1.0115,cmd,3,16.0513,,,0.00,0.00,
1.0115,cmd,4,32.2014,,,0.00,0.00,
1.0121,state,3,16.0513,0.280,-0.0147,,,37.0
1.0122,state,4,32.2014,-1.399,-0.0879,,,36.0
1.0214,cmd,3,16.0513,,,0.00,0.00,
1.0214,cmd,4,32.2014,,,0.00,0.00,
1.0221,state,3,16.0513,-0.280,-0.0733,,,37.0
1.0221,state,4,32.2014,0.839,-0.0879,,,36.0
1.0315,cmd,3,16.0513,,,0.00,0.00,
1.0315,cmd,4,32.2014,,,0.00,0.00,
1.0321,state,3,16.0513,0.280,-0.0440,,,37.0
1.0322,state,4,32.2014,-0.280,-0.0293,,,36.0
1.0414,cmd,3,16.0513,,,0.00,0.00,
1.0414,cmd,4,32.2014,,,0.00,0.00,
1.0420,state,3,16.0513,4.197,-0.0147,,,37.0
1.0422,state,4,32.2014,-2.518,-0.0293,,,36.0
1.0514,cmd,3,16.0513,,,0.00,0.00,
1.0514,cmd,4,32.2014,,,0.00,0.00,
1.0521,state,3,16.0513,-4.757,-0.0440,,,37.0
1.0522,state,4,32.2014,-5.317,-0.0293,,,36.0
1.0616,cmd,3,16.0513,,,0.00,0.00,
1.0616,cmd,4,32.2014,,,0.00,0.00,
1.0622,state,3,16.0513,-2.518,-0.0440,,,37.0
1.0623,state,4,32.2014,0.280,-0.0879,,,36.0
1.0714,cmd,3,16.0513,,,0.00,0.00,
1.0715,cmd,4,32.2014,,,0.00,0.00,
1.0721,state,3,16.0513,0.280,-0.0147,,,37.0
1.0721,state,4,32.2234,0.280,-0.0293,,,36.0
1.0815,cmd,3,16.0513,,,0.00,0.00,
1.0816,cmd,4,32.2014,,,0.00,0.00,
1.0821,state,3,16.0513,-6.436,-0.0147,,,37.0
1.0822,state,4,32.2014,-0.839,-0.0293,,,36.0
1.0915,cmd,3,16.0513,,,0.00,0.00,
1.0915,cmd,4,32.2234,,,0.00,0.00,
1.0921,state,3,16.0513,-1.959,-0.0440,,,37.0
1.0922,state,4,32.2014,0.839,-0.0879,,,36.0
1.1015,cmd,3,16.0513,,,0.00,0.00,
1.1016,cmd,4,32.2014,,,0.00,0.00,
1.1022,state,3,16.0513,-0.839,-0.0440,,,37.0
1.1023,state,4,32.2014,1.959,-0.0293,,,36.0
1.1114,cmd,3,16.0513,,,0.00,0.00,
1.1115,cmd,4,32.2014,,,0.00,0.00,
1.1121,state,3,16.0513,-3.078,0.0147,,,37.0
1.1122,state,4,32.2014,-1.399,-0.0879,,,36.0
1.1215,cmd,3,16.0513,,,0.00,0.00,
1.1215,cmd,4,32.2014,,,0.00,0.00,
1.1221,state,3,16.0513,1.399,-0.0440,,,37.0
1.1222,state,4,32.2014,-1.399,-0.0293,,,36.0
1.1315,cmd,3,16.0513,,,0.00,0.00,
1.1315,cmd,4,32.2014,,,0.00,0.00,
1.1321,state,3,16.0513,-1.959,0.0147,,,37.0
1.1322,state,4,32.2014,0.280,-0.0293,,,36.0
1.1415,cmd,3,16.0513,,,0.00,0.00,
1.1416,cmd,4,32.2014,,,0.00,0.00,
1.1421,state,3,16.0513,-2.518,-0.0733,,,37.0
1.1422,state,4,32.2014,-1.959,-0.0879,,,36.0
1.1515,cmd,3,16.0513,,,0.00,0.00,
1.1515,cmd,4,32.2014,,,0.00,0.00,
1.1521,state,3,16.0513,-3.638,-0.0440,,,37.0
1.1522,state,4,32.2014,-3.078,-0.0879,,,36.0
1.1614,cmd,3,16.0513,,,0.00,0.00,
1.1615,cmd,4,32.2014,,,0.00,0.00,
1.1621,state,3,16.0513,3.078,-0.0440,,,37.0
1.1622,state,4,32.2234,0.839,-0.0293,,,36.0
1.1715,cmd,3,16.0513,,,0.00,0.00,
1.1716,cmd,4,32.2014,,,0.00,0.00,
1.1721,state,3,16.0513,4.757,-0.0147,,,37.0
1.1722,state,4,32.2014,-3.078,-0.0879,,,36.0
1.1815,cmd,3,16.0513,,,0.00,0.00,
1.1816,cmd,4,32.2234,,,0.00,0.00,
1.1821,state,3,16.0513,6.436,0.0147,,,37.0
1.1822,state,4,32.2014,0.839,-0.0293,,,36.0
1.1915,cmd,3,16.0513,,,0.00,0.00,
1.1916,cmd,4,32.2014,,,0.00,0.00,
1.1921,state,3,16.0513,8.115,-0.0440,,,37.0
