t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.7897,cmd,4,45.6269,,,79.37,2.98,
0.7903,state,3,31.9597,0.839,-0.1026,,,31.0
0.7907,state,4,45.6489,-4.757,-0.0879,,,30.0
0.7998,cmd,3,31.9597,,,79.37,2.98,
0.7998,cmd,4,45.6269,,,79.37,2.98,
0.8004,state,3,31.9597,7.555,-0.1026,,,31.0
0.8005,state,4,45.6489,-5.317,-0.0879,,,30.0
0.8097,cmd,3,31.9597,,,79.37,2.98,
0.8097,cmd,4,45.6269,,,79.37,2.98,
0.8104,state,3,31.9597,-6.436,-0.0440,,,31.0
0.8104,state,4,45.6489,-0.839,-0.0879,,,30.0
0.8197,cmd,3,31.9597,,,79.37,2.98,
0.8197,cmd,4,45.6269,,,79.37,2.98,
0.8203,state,3,31.9597,3.638,-0.0147,,,31.0
0.8205,state,4,45.6489,1.959,-0.1465,,,30.0
0.8298,cmd,3,31.9597,,,79.37,2.98,
0.8298,cmd,4,45.6269,,,79.37,2.98,
0.8304,state,3,31.9597,1.399,-0.0733,,,31.0
0.8305,state,4,45.6489,0.839,-0.0879,,,30.0
0.8398,cmd,3,31.9597,,,79.37,2.98,
0.8398,cmd,4,45.6269,,,79.37,2.98,
0.8404,state,3,31.9597,-1.959,-0.0733,,,31.0
0.8405,state,4,45.6489,5.317,-0.1465,,,30.0
0.8497,cmd,3,31.9597,,,79.37,2.98,
0.8497,cmd,4,45.6269,,,79.37,2.98,
0.8503,state,3,31.9597,1.399,-0.0147,,,31.0
0.8504,state,4,45.6489,-2.518,-0.0879,,,30.0
0.8598,cmd,3,31.9597,,,79.37,2.98,
0.8598,cmd,4,45.6269,,,79.37,2.98,
0.8603,state,3,31.9597,-1.959,-0.0147,,,31.0
0.8608,state,4,45.6489,1.959,-0.0879,,,30.0
0.8697,cmd,3,31.9597,,,79.37,2.98,
0.8697,cmd,4,45.6269,,,79.37,2.98,
0.8703,state,3,31.9597,3.078,-0.0440,,,31.0
0.8707,state,4,45.6489,4.757,-0.1465,,,30.0
0.8799,cmd,3,31.9597,,,79.37,2.98,
0.8799,cmd,4,45.6269,,,79.37,2.98,
0.8804,state,3,31.9597,1.959,-0.0440,,,31.0
0.8805,state,4,45.6489,-0.280,-0.0879,,,30.0
0.8898,cmd,3,31.9597,,,79.37,2.98,
0.8898,cmd,4,45.6269,,,79.37,2.98,
0.8903,state,3,31.9597,-0.839,-0.0440,,,31.0
0.8909,state,4,45.6269,-3.078,-0.1465,,,30.0
0.8998,cmd,3,31.9597,,,79.37,2.98,
0.8998,cmd,4,45.6269,,,79.37,2.98,
0.9003,state,3,31.9597,-0.280,-0.0440,,,31.0
0.9007,state,4,45.6489,3.638,-0.0879,,,30.0
0.9099,cmd,3,31.9597,,,79.37,2.98,
0.9099,cmd,4,45.6269,,,79.37,2.98,
0.9104,state,3,31.9597,2.518,-0.0733,,,31.0
0.9105,state,4,45.6489,1.399,-0.0879,,,30.0
0.9198,cmd,3,31.9597,,,79.37,2.98,
0.9199,cmd,4,45.6269,,,79.37,2.98,
0.9204,state,3,31.9597,-4.197,-0.1026,,,31.0
0.9205,state,4,45.6489,5.317,-0.1465,,,30.0
0.9298,cmd,3,31.9597,,,79.37,2.98,
0.9299,cmd,4,45.6269,,,79.37,2.98,
0.9305,state,3,31.9597,-0.839,-0.0147,,,31.0
0.9306,state,4,45.6489,-2.518,-0.0879,,,30.0
0.9397,cmd,3,31.9597,,,79.37,2.98,
0.9397,cmd,4,45.6269,,,79.37,2.98,
0.9404,state,3,31.9597,1.399,-0.0733,,,31.0
0.9404,state,4,45.6489,-0.280,-0.1465,,,30.0
0.9498,cmd,3,31.9597,,,79.37,2.98,
0.9498,cmd,4,45.6269,,,79.37,2.98,
0.9504,state,3,31.9597,-9.794,-0.0440,,,31.0
0.9505,state,4,45.6489,-2.518,-0.0879,,,30.0
0.9597,cmd,3,31.9597,,,79.37,2.98,
0.9597,cmd,4,45.6269,,,79.37,2.98,
0.9604,state,3,31.9597,-10.913,-0.0440,,,31.0
0.9604,state,4,45.6269,-3.078,-0.1465,,,30.0
0.9698,cmd,3,31.9597,,,79.37,2.98,
0.9699,cmd,4,45.6269,,,79.37,2.98,
0.9704,state,3,31.9597,0.280,-0.0733,,,31.0
0.9705,state,4,45.6489,-1.399,-0.1465,,,30.0
0.9798,cmd,3,31.9597,,,79.37,2.98,
0.9798,cmd,4,45.6269,,,79.37,2.98,
0.9803,state,3,31.9597,0.280,-0.0440,,,31.0
0.9806,state,4,45.6489,0.839,-0.0879,,,30.0
0.9898,cmd,3,31.9597,,,79.37,2.98,
0.9898,cmd,4,45.6269,,,79.37,2.98,
0.9904,state,3,31.9597,-4.197,-0.0733,,,31.0
0.9905,state,4,45.6489,-3.638,-0.0879,,,30.0
0.9998,cmd,3,31.9597,,,79.37,2.98,
